joint_name,lower_limit,upper_limit,damping,effort_limit,velocity_limit
torso_heave_eq_joint,0,0.17,1000,1200,0.5
torso_roll_eq_joint,-30,30,100,50,3.14
torso_pitch_eq_joint,-30,30,100,50,3.14
torso_yaw_joint,-60,60,10,30,3.14
neck_pitch_joint,-30,50,10,10,3.14
neck_yaw_joint,-80,80,10,10,3.14
l_shoulder_pitch_joint,-30,90,10,30,3.14
l_shoulder_roll_joint,-10,75,10,30,3.14
l_shoulder_yaw_joint,-90,90,10,15,3.14
l_elbow_joint,0,100,10,20,3.14
l_wrist_pronosupination_joint,-90,90,10,10,3.14
l_wrist_heave_eq_joint,0,0.13,100,200,0.25
l_wrist_roll_eq_joint,-30,30,10,10,3.14
l_wrist_pitch_eq_joint,-30,30,10,10,3.14
l_hand_paddle_proximal_joint,0,70,10,5,3.14
l_hand_paddle_distal_joint,0,70,10,5,3.14
l_hand_thumb_proximal_joint,0,60,10,5,3.14
l_hand_thumb_distal_joint,0,70,10,5,3.14
r_shoulder_pitch_joint,-30,90,10,30,3.14
r_shoulder_roll_joint,-10,75,10,30,3.14
r_shoulder_yaw_joint,-90,90,10,15,3.14
r_elbow_joint,0,100,10,20,3.14
r_wrist_pronosupination_joint,-90,90,10,10,3.14
r_wrist_heave_eq_joint,0,0.13,100,200,0.25
r_wrist_roll_eq_joint,-30,30,10,10,3.14
r_wrist_pitch_eq_joint,-30,30,10,10,3.14
r_hand_paddle_proximal_joint,0,70,10,5,3.14
r_hand_paddle_distal_joint,0,70,10,5,3.14
r_hand_thumb_proximal_joint,0,60,10,5,3.14
r_hand_thumb_distal_joint,0,70,10,5,3.14
mobile_base_l_wheel_joint,,,0.5,100,30
mobile_base_r_wheel_joint,,,0.5,100,30
